id,title,project_name,developer,community,city,property_type,bedrooms,bathrooms,size_sqft,price_aed,payment_plan,handover,status,amenities,nearby_landmarks,roi_hint,latitude,longitude,image_url,source,featured
DV_001,Védaire Residences - Luxury Off-plan,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,1,2,850.0,1400000,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_002,Bellagio by Sunrise - Value Investment,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,1,1,750.0,970000,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_003,Trillium Heights - Premium Living,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1020000,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_000,Védaire Residences - 1 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,1,2,850.0,1705334,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_001,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,1188865,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_002,Trillium Heights - 2 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1165954,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_003,Védaire Residences - 2 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,2,2,850.0,1589490,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_004,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,1073223,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_005,Trillium Heights - 3 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,3,2,1100.0,1152375,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_006,Védaire Residences - 2 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,2,2,850.0,1320499,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_007,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,1214581,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_008,Trillium Heights - 2 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1219537,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_009,Védaire Residences - 1 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,1,2,850.0,1396209,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_010,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,878353,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_011,Trillium Heights - 3 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,3,2,1100.0,1106986,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_012,Védaire Residences - 1 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,1,2,850.0,1692622,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_013,Bellagio by Sunrise - 1 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,1,1,750.0,1100695,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_014,Trillium Heights - 2 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1196661,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_015,Védaire Residences - 2 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,2,2,850.0,1668583,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_016,Bellagio by Sunrise - 1 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,1,1,750.0,1138576,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_017,Trillium Heights - 2 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1226657,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_018,Védaire Residences - 2 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,2,2,850.0,1768156,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_019,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,882563,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_020,Trillium Heights - 3 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,3,2,1100.0,1162191,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_021,Védaire Residences - 2 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,2,2,850.0,1718466,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_022,Bellagio by Sunrise - 1 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,1,1,750.0,1174120,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_023,Trillium Heights - 2 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,2,2,1100.0,1188373,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_024,Védaire Residences - 1 Bed Unit,Védaire Residences,XYZ Dev,Meydan Avenue,Dubai,Apartment,1,2,850.0,1714801,30/70,Q3 2027,Off-plan,"Pool, Gym, Concierge, Smart Home","Meydan Racecourse, Downtown Dubai",High potential due to Meydan location,25.1558,55.2936,https://images.unsplash.com/photo-1613977257363-707ba9348227?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_025,Bellagio by Sunrise - 2 Bed Unit,Bellagio by Sunrise,Sunrise,Wasl Gate,Dubai,Apartment,2,1,750.0,1102157,50/50,Q4 2026,Off-plan,"Community Park, Metro Access, Retail","Ibn Battuta Mall, Festival Plaza",Excellent rental yield near Metro,25.0385,55.1189,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=600&h=400&fit=crop,xyz_exclusive,True
DV_VAR_026,Trillium Heights - 3 Bed Unit,Trillium Heights,XYZ Partner,Jumeirah Garden City,Dubai,Apartment,3,2,1100.0,1037021,60/40,Q1 2026,Off-plan,"Rooftop Garden, Kids Play Area","Sheikh Zayed Road, Satwa",Great connectivity and value,25.2154,55.2758,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=600&h=400&fit=crop,xyz_exclusive,True
